Group,SampleID,pc1end,pc2end,Roost,CollectionMonth,Site,Labeler,pc1start,pc2start,DistMethod,Pid
HB-D-July,7272017HBD2,0.0108198341354289,-0.0374197303971053,D,July,HB,HB-D,-0.0464373837345609,-0.106627836450594,bray,pid=99
HB-D-July,7272017HBD4,-0.27514501343885,-0.129256381975204,D,July,HB,HB-D,-0.0464373837345609,-0.106627836450594,bray,pid=99
HB-D-July,7272017HBD5,-0.351493782258106,-0.173770220476011,D,July,HB,HB-D,-0.0464373837345609,-0.106627836450594,bray,pid=99
HB-D-July,7272017HBD6,-0.105828100915537,-0.13151386998216,D,July,HB,HB-D,-0.0464373837345609,-0.106627836450594,bray,pid=99
HB-D-July,7272017HBD7,-0.0291052580940705,-0.148026673525271,D,July,HB,HB-D,-0.0464373837345609,-0.106627836450594,bray,pid=99
HB-D-July,7272017HBD8,0.0951291747381662,-0.208577473883034,D,July,HB,HB-D,-0.0464373837345609,-0.106627836450594,bray,pid=99
HB-D-July,7272017HBD9,0.0841088554964235,-0.0617121712874425,D,July,HB,HB-D,-0.0464373837345609,-0.106627836450594,bray,pid=99
HB-D-July,7272017HBPoolD1,-0.0766648906039887,-0.0666082595868261,D,July,HB,HB-D,-0.0464373837345609,-0.106627836450594,bray,pid=99
HB-D-July,7272017HBPoolD2,-0.0391331139951109,-0.122587049297489,D,July,HB,HB-D,-0.0464373837345609,-0.106627836450594,bray,pid=99
HB-D-July,7272017HBPoolD3,-0.0528421163837842,-0.0952907755611419,D,July,HB,HB-D,-0.0464373837345609,-0.106627836450594,bray,pid=99
HB-D-July,7272017HBPoolD4,-0.077194135269252,-0.0814123507827669,D,July,HB,HB-D,-0.0464373837345609,-0.106627836450594,bray,pid=99
HB-D-June,6212017HBD9,0.109662618914944,0.0825279977781364,D,June,HB,HB-D,0.0793510700588695,0.20593044885915,bray,pid=99
HB-D-June,6212017HBD1,-0.244679543116814,0.106671667374824,D,June,HB,HB-D,0.0793510700588695,0.20593044885915,bray,pid=99
HB-D-June,6212017HBD10,0.249536274296301,0.252183701485274,D,June,HB,HB-D,0.0793510700588695,0.20593044885915,bray,pid=99
HB-D-June,6212017HBD2,0.101828788577008,0.0960331901466445,D,June,HB,HB-D,0.0793510700588695,0.20593044885915,bray,pid=99
HB-D-June,6212017HBD3,0.0522688277677626,0.166608116442438,D,June,HB,HB-D,0.0793510700588695,0.20593044885915,bray,pid=99
HB-D-June,6212017HBD4,0.0732642295483998,0.16767922646367,D,June,HB,HB-D,0.0793510700588695,0.20593044885915,bray,pid=99
HB-D-June,6212017HBD5,-0.37688777668212,0.108791634213897,D,June,HB,HB-D,0.0793510700588695,0.20593044885915,bray,pid=99
HB-D-June,6212017HBD6,0.21423124927702,0.233057585875057,D,June,HB,HB-D,0.0793510700588695,0.20593044885915,bray,pid=99
HB-D-June,6212017HBD7,-0.398807908781138,0.149970698608251,D,June,HB,HB-D,0.0793510700588695,0.20593044885915,bray,pid=99
HB-D-June,6212017HBD8,0.0337185687822935,0.112508987438702,D,June,HB,HB-D,0.0793510700588695,0.20593044885915,bray,pid=99
HB-D-June,6212017HBPoolD1,0.244576668281675,0.303048939469288,D,June,HB,HB-D,0.0793510700588695,0.20593044885915,bray,pid=99
HB-D-June,6212017HBPoolD2,0.248639368427486,0.295162734109294,D,June,HB,HB-D,0.0793510700588695,0.20593044885915,bray,pid=99
HB-D-June,6212017HBPoolD3,0.24606050545071,0.299915100955748,D,June,HB,HB-D,0.0793510700588695,0.20593044885915,bray,pid=99
HB-D-June,6212017HBPoolD4,0.240188203624097,0.310132598655637,D,June,HB,HB-D,0.0793510700588695,0.20593044885915,bray,pid=99
HB-D-September,91517HBPoolD1,0.113319184578394,0.0681892190405816,D,September,HB,HB-D,0.0699313236782964,-0.0172007872189459,bray,pid=99
HB-D-September,91517HBPoolD2,0.0817590259773196,0.0374350358186891,D,September,HB,HB-D,0.0699313236782964,-0.0172007872189459,bray,pid=99
HB-D-September,91517HBPoolD3,-0.0883945218507791,0.00828528393025582,D,September,HB,HB-D,0.0699313236782964,-0.0172007872189459,bray,pid=99
HB-D-September,91517HBPoolD4,-0.0728964480176487,0.0118667462227292,D,September,HB,HB-D,0.0699313236782964,-0.0172007872189459,bray,pid=99
HB-D-September,9152017HBD7,0.139134482554071,-0.216692795694806,D,September,HB,HB-D,0.0699313236782964,-0.0172007872189459,bray,pid=99
HB-D-September,9152017HBD8,-0.378243285812791,0.0870235676609217,D,September,HB,HB-D,0.0699313236782964,-0.0172007872189459,bray,pid=99
HB-D-September,9152017HBD1,0.170807148001987,0.0337006814818186,D,September,HB,HB-D,0.0699313236782964,-0.0172007872189459,bray,pid=99
HB-D-September,9152017HBD10,0.196238046194004,-0.192473716074232,D,September,HB,HB-D,0.0699313236782964,-0.0172007872189459,bray,pid=99
HB-D-September,9152017HBD2,0.23302485701854,-0.176174073756354,D,September,HB,HB-D,0.0699313236782964,-0.0172007872189459,bray,pid=99
HB-D-September,9152017HBD3,0.169992735978317,0.294068130457754,D,September,HB,HB-D,0.0699313236782964,-0.0172007872189459,bray,pid=99
HB-D-September,9152017HBD4,0.102282260563644,0.0111814593139833,D,September,HB,HB-D,0.0699313236782964,-0.0172007872189459,bray,pid=99
HB-D-September,9152017HBD5,0.112853535141628,0.00286310973316319,D,September,HB,HB-D,0.0699313236782964,-0.0172007872189459,bray,pid=99
HB-D-September,9152017HBD6,0.23991620641427,-0.212732203775905,D,September,HB,HB-D,0.0699313236782964,-0.0172007872189459,bray,pid=99
EN-A-July,7272017EGA2,-0.167751909665596,-0.116704817907701,A,July,EN,EN-A,-0.0694511784104921,-0.0437113293446499,morisita,pid=99
EN-A-July,7272017EGA4,-0.123190171217228,-0.0331026626787605,A,July,EN,EN-A,-0.0694511784104921,-0.0437113293446499,morisita,pid=99
EN-A-July,7272017EGA5,0.200316072089762,-0.00716132662323333,A,July,EN,EN-A,-0.0694511784104921,-0.0437113293446499,morisita,pid=99
EN-A-July,7272017EGA1,0.0401728709150716,0.0670848962700231,A,July,EN,EN-A,-0.0694511784104921,-0.0437113293446499,morisita,pid=99
EN-A-July,7272017EGA3,-0.285434981245402,-0.14592919702956,A,July,EN,EN-A,-0.0694511784104921,-0.0437113293446499,morisita,pid=99
EN-A-June,6212017EGA1,0.510420970680302,-0.0183177353835107,A,June,EN,EN-A,0.143204632691407,0.101988470478505,morisita,pid=99
EN-A-June,6212017EGA2,-0.0677258283288142,-0.0939695701769988,A,June,EN,EN-A,0.143204632691407,0.101988470478505,morisita,pid=99
EN-A-June,6212017EGA3,-0.0489451910467097,-0.0500315775976945,A,June,EN,EN-A,0.143204632691407,0.101988470478505,morisita,pid=99
EN-A-June,6212017EGA4,0.0893913186839256,0.549868427649115,A,June,EN,EN-A,0.143204632691407,0.101988470478505,morisita,pid=99
EN-A-September,9152017EGA1,-0.279758433423734,-0.145797345635607,A,September,EN,EN-A,0.0286703229022409,-0.0621289345385709,morisita,pid=99
EN-A-September,9152017EGA4,-0.12361684972324,-0.0859095955952767,A,September,EN,EN-A,0.0286703229022409,-0.0621289345385709,morisita,pid=99
EN-A-September,9152017EGA3,0.518057784091377,0.0519987639276142,A,September,EN,EN-A,0.0286703229022409,-0.0621289345385709,morisita,pid=99
EN-B-July,72717EgnerPoolB1,-0.146285390601799,-0.292325009809961,B,July,EN,EN-B,0.0907411798555164,-0.00379774176310949,morisita,pid=99
EN-B-July,72717EgnerPoolB2,-0.137322340231733,-0.307043645716771,B,July,EN,EN-B,0.0907411798555164,-0.00379774176310949,morisita,pid=99
EN-B-July,72717EgnerPoolB3,-0.0716501706797026,-0.258125513462911,B,July,EN,EN-B,0.0907411798555164,-0.00379774176310949,morisita,pid=99
EN-B-July,72717EgnerPoolB4,0.0368374071268198,-0.227067510658068,B,July,EN,EN-B,0.0907411798555164,-0.00379774176310949,morisita,pid=99
EN-B-July,7272017EGB1,0.230391655909749,0.0681444527178734,B,July,EN,EN-B,0.0907411798555164,-0.00379774176310949,morisita,pid=99
EN-B-July,7272017EGB10,0.270958633828535,0.17876312928428,B,July,EN,EN-B,0.0907411798555164,-0.00379774176310949,morisita,pid=99
EN-B-July,7272017EGB2,0.476917023996655,0.0683278171400085,B,July,EN,EN-B,0.0907411798555164,-0.00379774176310949,morisita,pid=99
