#SampleID,SampleType,BatchType,CollectionMonth,CollectionDay,CollectionYear,Site,Roost,RoostMonth,RoostDay,RoostYear
6212017HBC8,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017
6212017HBC9,sample,single,6,21,2017,HickoryBottoms,C,6,7,2017
6212017HBD1,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017
6212017HBD10,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017
6212017HBD2,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017
6212017HBD3,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017
6212017HBD4,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017
6212017HBD5,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017
6212017HBD6,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017
6212017HBD7,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017
6212017HBD8,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017
6212017HBD9,sample,single,6,21,2017,HickoryBottoms,D,6,7,2017
6212017HBPoolA1,sample,pool,6,21,2017,HickoryBottoms,A,6,7,2017
6212017HBPoolA2,sample,pool,6,21,2017,HickoryBottoms,A,6,7,2017
6212017HBPoolA3,sample,pool,6,21,2017,HickoryBottoms,A,6,7,2017
6212017HBPoolA4,sample,pool,6,21,2017,HickoryBottoms,A,6,7,2017
6212017HBPoolB1,sample,pool,6,21,2017,HickoryBottoms,B,6,7,2017
6212017HBPoolB2,sample,pool,6,21,2017,HickoryBottoms,B,6,7,2017
6212017HBPoolB3,sample,pool,6,21,2017,HickoryBottoms,B,6,7,2017
6212017HBPoolB4,sample,pool,6,21,2017,HickoryBottoms,B,6,7,2017
6212017HBPoolC1,sample,pool,6,21,2017,HickoryBottoms,C,6,7,2017
6212017HBPoolC2,sample,pool,6,21,2017,HickoryBottoms,C,6,7,2017
6212017HBPoolC3,sample,pool,6,21,2017,HickoryBottoms,C,6,7,2017
6212017HBPoolC4,sample,pool,6,21,2017,HickoryBottoms,C,6,7,2017
6212017HBPoolD1,sample,pool,6,21,2017,HickoryBottoms,D,6,7,2017
6212017HBPoolD2,sample,pool,6,21,2017,HickoryBottoms,D,6,7,2017
6212017HBPoolD3,sample,pool,6,21,2017,HickoryBottoms,D,6,7,2017
6212017HBPoolD4,sample,pool,6,21,2017,HickoryBottoms,D,6,7,2017
72717EgnerPoolB1,sample,pool,7,27,2017,Egner,B,7,19,2017
72717EgnerPoolB2,sample,pool,7,27,2017,Egner,B,7,19,2017
72717EgnerPoolB3,sample,pool,7,27,2017,Egner,B,7,19,2017
72717EgnerPoolB4,sample,pool,7,27,2017,Egner,B,7,19,2017
72717HBPoolB1,sample,pool,7,27,2017,HickoryBottoms,B,7,12,2017
72717HBPoolB2,sample,pool,7,27,2017,HickoryBottoms,B,7,12,2017
72717HBPoolB3,sample,pool,7,27,2017,HickoryBottoms,B,7,12,2017
72717HBPoolB4,sample,pool,7,27,2017,HickoryBottoms,B,7,12,2017
72717HBPoolC1,sample,pool,7,27,2017,HickoryBottoms,C,7,12,2017
72717HBPoolC2,sample,pool,7,27,2017,HickoryBottoms,C,7,12,2017
72717HBPoolC3,sample,pool,7,27,2017,HickoryBottoms,C,7,12,2017
72717HBPoolC4,sample,pool,7,27,2017,HickoryBottoms,C,7,12,2017
7272017EGA1,sample,single,7,27,2017,Egner,A,7,19,2017
7272017EGA2,sample,single,7,27,2017,Egner,A,7,19,2017
7272017EGA3,sample,single,7,27,2017,Egner,A,7,19,2017
7272017EGA4,sample,single,7,27,2017,Egner,A,7,19,2017
7272017EGA5,sample,single,7,27,2017,Egner,A,7,19,2017
7272017EGB1,sample,single,7,27,2017,Egner,B,7,19,2017
7272017EGB10,sample,single,7,27,2017,Egner,B,7,19,2017
7272017EGB2,sample,single,7,27,2017,Egner,B,7,19,2017
7272017EGB3,sample,single,7,27,2017,Egner,B,7,19,2017
7272017EGB4,sample,single,7,27,2017,Egner,B,7,19,2017
7272017EGB5,sample,single,7,27,2017,Egner,B,7,19,2017
7272017EGB6,sample,single,7,27,2017,Egner,B,7,19,2017
7272017EGB7,sample,single,7,27,2017,Egner,B,7,19,2017
7272017EGB8,sample,single,7,27,2017,Egner,B,7,19,2017
7272017EGB9,sample,single,7,27,2017,Egner,B,7,19,2017
7272017EGC1,sample,single,7,27,2017,Egner,C,7,19,2017
7272017EGC10,sample,single,7,27,2017,Egner,C,7,19,2017
7272017EGC2,sample,single,7,27,2017,Egner,C,7,19,2017
7272017EGC3,sample,single,7,27,2017,Egner,C,7,19,2017
7272017EGC4,sample,single,7,27,2017,Egner,C,7,19,2017
7272017EGC5,sample,single,7,27,2017,Egner,C,7,19,2017
7272017EGC6,sample,single,7,27,2017,Egner,C,7,19,2017
7272017EGC7,sample,single,7,27,2017,Egner,C,7,19,2017
7272017EGC8,sample,single,7,27,2017,Egner,C,7,19,2017
7272017EGC9,sample,single,7,27,2017,Egner,C,7,19,2017
7272017EGD1,sample,single,7,27,2017,Egner,D,7,19,2017
7272017EGD10,sample,single,7,27,2017,Egner,D,7,19,2017
7272017EGD2,sample,single,7,27,2017,Egner,D,7,19,2017
7272017EGD3,sample,single,7,27,2017,Egner,D,7,19,2017
7272017EGD4,sample,single,7,27,2017,Egner,D,7,19,2017
7272017EGD5,sample,single,7,27,2017,Egner,D,7,19,2017
7272017EGD6,sample,single,7,27,2017,Egner,D,7,19,2017
7272017EGD7,sample,single,7,27,2017,Egner,D,7,19,2017
7272017EGD8,sample,single,7,27,2017,Egner,D,7,19,2017
7272017EGD9,sample,single,7,27,2017,Egner,D,7,19,2017
7272017EgnerPoolC1,sample,pool,7,27,2017,Egner,C,7,19,2017
7272017EgnerPoolC2,sample,pool,7,27,2017,Egner,C,7,19,2017
7272017EgnerPoolC3,sample,pool,7,27,2017,Egner,C,7,19,2017
7272017EgnerPoolC4,sample,pool,7,27,2017,Egner,C,7,19,2017
7272017EgnerPoolD1,sample,pool,7,27,2017,Egner,D,7,19,2017
7272017EgnerPoolD2,sample,pool,7,27,2017,Egner,D,7,19,2017
7272017EgnerPoolD3,sample,pool,7,27,2017,Egner,D,7,19,2017
7272017EgnerPoolD4,sample,pool,7,27,2017,Egner,D,7,19,2017
7272017HBA1,sample,single,7,27,2017,HickoryBottoms,A,7,12,2017
7272017HBA10,sample,single,7,27,2017,HickoryBottoms,A,7,12,2017
7272017HBA2,sample,single,7,27,2017,HickoryBottoms,A,7,12,2017
7272017HBA3,sample,single,7,27,2017,HickoryBottoms,A,7,12,2017
7272017HBA4,sample,single,7,27,2017,HickoryBottoms,A,7,12,2017
7272017HBA5,sample,single,7,27,2017,HickoryBottoms,A,7,12,2017
7272017HBA6,sample,single,7,27,2017,HickoryBottoms,A,7,12,2017
7272017HBA7,sample,single,7,27,2017,HickoryBottoms,A,7,12,2017
7272017HBA8,sample,single,7,27,2017,HickoryBottoms,A,7,12,2017
7272017HBA9,sample,single,7,27,2017,HickoryBottoms,A,7,12,2017
7272017HBB1,sample,single,7,27,2017,HickoryBottoms,B,7,12,2017
7272017HBB10,sample,single,7,27,2017,HickoryBottoms,B,7,12,2017
7272017HBB2,sample,single,7,27,2017,HickoryBottoms,B,7,12,2017
7272017HBB3,sample,single,7,27,2017,HickoryBottoms,B,7,12,2017
7272017HBB4,sample,single,7,27,2017,HickoryBottoms,B,7,12,2017
7272017HBB5,sample,single,7,27,2017,HickoryBottoms,B,7,12,2017
7272017HBB6,sample,single,7,27,2017,HickoryBottoms,B,7,12,2017
7272017HBB7,sample,single,7,27,2017,HickoryBottoms,B,7,12,2017
7272017HBB8,sample,single,7,27,2017,HickoryBottoms,B,7,12,2017
7272017HBB9,sample,single,7,27,2017,HickoryBottoms,B,7,12,2017
7272017HBC1,sample,single,7,27,2017,HickoryBottoms,C,7,12,2017
7272017HBC10,sample,single,7,27,2017,HickoryBottoms,C,7,12,2017
7272017HBC2,sample,single,7,27,2017,HickoryBottoms,C,7,12,2017
7272017HBC3,sample,single,7,27,2017,HickoryBottoms,C,7,12,2017
7272017HBC4,sample,single,7,27,2017,HickoryBottoms,C,7,12,2017
7272017HBC5,sample,single,7,27,2017,HickoryBottoms,C,7,12,2017
7272017HBC6,sample,single,7,27,2017,HickoryBottoms,C,7,12,2017
7272017HBC7,sample,single,7,27,2017,HickoryBottoms,C,7,12,2017
7272017HBC8,sample,single,7,27,2017,HickoryBottoms,C,7,12,2017
7272017HBC9,sample,single,7,27,2017,HickoryBottoms,C,7,12,2017
7272017HBD1,sample,single,7,27,2017,HickoryBottoms,D,7,12,2017
7272017HBD10,sample,single,7,27,2017,HickoryBottoms,D,7,12,2017
7272017HBD2,sample,single,7,27,2017,HickoryBottoms,D,7,12,2017
7272017HBD3,sample,single,7,27,2017,HickoryBottoms,D,7,12,2017
7272017HBD4,sample,single,7,27,2017,HickoryBottoms,D,7,12,2017
7272017HBD5,sample,single,7,27,2017,HickoryBottoms,D,7,12,2017
7272017HBD6,sample,single,7,27,2017,HickoryBottoms,D,7,12,2017
7272017HBD7,sample,single,7,27,2017,HickoryBottoms,D,7,12,2017
7272017HBD8,sample,single,7,27,2017,HickoryBottoms,D,7,12,2017
7272017HBD9,sample,single,7,27,2017,HickoryBottoms,D,7,12,2017
7272017HBPoolA1,sample,pool,7,27,2017,HickoryBottoms,A,7,12,2017
7272017HBPoolA2,sample,pool,7,27,2017,HickoryBottoms,A,7,12,2017
7272017HBPoolA3,sample,pool,7,27,2017,HickoryBottoms,A,7,12,2017
7272017HBPoolA4,sample,pool,7,27,2017,HickoryBottoms,A,7,12,2017
7272017HBPoolD1,sample,pool,7,27,2017,HickoryBottoms,D,7,12,2017
7272017HBPoolD2,sample,pool,7,27,2017,HickoryBottoms,D,7,12,2017
7272017HBPoolD3,sample,pool,7,27,2017,HickoryBottoms,D,7,12,2017
7272017HBPoolD4,sample,pool,7,27,2017,HickoryBottoms,D,7,12,2017
91517HBPoolD1,sample,pool,9,15,2017,HickoryBottoms,D,9,14,2017
91517HBPoolD2,sample,pool,9,15,2017,HickoryBottoms,D,9,14,2017
91517HBPoolD3,sample,pool,9,15,2017,HickoryBottoms,D,9,14,2017
91517HBPoolD4,sample,pool,9,15,2017,HickoryBottoms,D,9,14,2017
9152017EGA1,sample,single,9,15,2017,Egner,A,9,18,2017
9152017EGA2,sample,single,9,15,2017,Egner,A,9,18,2017
9152017EGA3,sample,single,9,15,2017,Egner,A,9,18,2017
9152017EGA4,sample,single,9,15,2017,Egner,A,9,18,2017
9152017EGA5,sample,single,9,15,2017,Egner,A,9,18,2017
9152017EGA6,sample,single,9,15,2017,Egner,A,9,18,2017
9152017EGA7,sample,single,9,15,2017,Egner,A,9,18,2017
9152017EGB10,sample,single,9,15,2017,Egner,B,9,18,2017
9152017EGB5,sample,single,9,15,2017,Egner,B,9,18,2017
9152017EGB6,sample,single,9,15,2017,Egner,B,9,18,2017
9152017EGB7,sample,single,9,15,2017,Egner,B,9,18,2017
9152017EGB8,sample,single,9,15,2017,Egner,B,9,18,2017
9152017EGB9,sample,single,9,15,2017,Egner,B,9,18,2017
9152017EGC1,sample,single,9,15,2017,Egner,C,9,18,2017
9152017EGC10,sample,single,9,15,2017,Egner,C,9,18,2017
9152017EGC2,sample,single,9,15,2017,Egner,C,9,18,2017
9152017EGC3,sample,single,9,15,2017,Egner,C,9,18,2017
9152017EGC4,sample,single,9,15,2017,Egner,C,9,18,2017
9152017EGC5,sample,single,9,15,2017,Egner,C,9,18,2017
9152017EGC6,sample,single,9,15,2017,Egner,C,9,18,2017
9152017EGC7,sample,single,9,15,2017,Egner,C,9,18,2017
9152017EGC8,sample,single,9,15,2017,Egner,C,9,18,2017
9152017EGC9,sample,single,9,15,2017,Egner,C,9,18,2017
9152017EGD10,sample,single,9,15,2017,Egner,D,9,18,2017
9152017EGD5,sample,single,9,15,2017,Egner,D,9,18,2017
9152017EGD6,sample,single,9,15,2017,Egner,D,9,18,2017
9152017EGD7,sample,single,9,15,2017,Egner,D,9,18,2017
9152017EGD8,sample,single,9,15,2017,Egner,D,9,18,2017
9152017EGD9,sample,single,9,15,2017,Egner,D,9,18,2017
9152017EgnerB1,sample,single,9,15,2017,Egner,B,9,18,2017
9152017EgnerB2,sample,single,9,15,2017,Egner,B,9,18,2017
9152017EgnerB3,sample,single,9,15,2017,Egner,B,9,18,2017
9152017EgnerB4,sample,single,9,15,2017,Egner,B,9,18,2017
9152017EgnerD1,sample,single,9,15,2017,Egner,D,9,18,2017
9152017EgnerD2,sample,single,9,15,2017,Egner,D,9,18,2017
9152017EgnerD3,sample,single,9,15,2017,Egner,D,9,18,2017
9152017EgnerD4,sample,single,9,15,2017,Egner,D,9,18,2017
9152017EgnerPoolB1,sample,pool,9,15,2017,Egner,B,9,18,2017
9152017EgnerPoolB2,sample,pool,9,15,2017,Egner,B,9,18,2017
9152017EgnerPoolB3,sample,pool,9,15,2017,Egner,B,9,18,2017
9152017EgnerPoolB4,sample,pool,9,15,2017,Egner,B,9,18,2017
9152017EgnerPoolC1,sample,pool,9,15,2017,Egner,C,9,18,2017
9152017EgnerPoolC2,sample,pool,9,15,2017,Egner,C,9,18,2017
9152017EgnerPoolC3,sample,pool,9,15,2017,Egner,C,9,18,2017
9152017EgnerPoolC4,sample,pool,9,15,2017,Egner,C,9,18,2017
9152017EgnerPoolD1,sample,pool,9,15,2017,Egner,D,9,18,2017
9152017EgnerPoolD2,sample,pool,9,15,2017,Egner,D,9,18,2017
9152017EgnerPoolD3,sample,pool,9,15,2017,Egner,D,9,18,2017
9152017EgnerPoolD4,sample,pool,9,15,2017,Egner,D,9,18,2017
9152017HBA1,sample,single,9,15,2017,HickoryBottoms,A,9,14,2017
9152017HBA10,sample,single,9,15,2017,HickoryBottoms,A,9,14,2017
9152017HBA2,sample,single,9,15,2017,HickoryBottoms,A,9,14,2017
9152017HBA3,sample,single,9,15,2017,HickoryBottoms,A,9,14,2017
9152017HBA4,sample,single,9,15,2017,HickoryBottoms,A,9,14,2017
9152017HBA5,sample,single,9,15,2017,HickoryBottoms,A,9,14,2017
9152017HBA6,sample,single,9,15,2017,HickoryBottoms,A,9,14,2017
9152017HBA7,sample,single,9,15,2017,HickoryBottoms,A,9,14,2017
9152017HBA8,sample,single,9,15,2017,HickoryBottoms,A,9,14,2017
9152017HBA9,sample,single,9,15,2017,HickoryBottoms,A,9,14,2017
9152017HBB1,sample,single,9,15,2017,HickoryBottoms,B,9,14,2017
9152017HBB10,sample,single,9,15,2017,HickoryBottoms,B,9,14,2017
9152017HBB2,sample,single,9,15,2017,HickoryBottoms,B,9,14,2017
9152017HBB3,sample,single,9,15,2017,HickoryBottoms,B,9,14,2017
9152017HBB4,sample,single,9,15,2017,HickoryBottoms,B,9,14,2017
9152017HBB5,sample,single,9,15,2017,HickoryBottoms,B,9,14,2017
9152017HBB6,sample,single,9,15,2017,HickoryBottoms,B,9,14,2017
9152017HBB7,sample,single,9,15,2017,HickoryBottoms,B,9,14,2017
9152017HBB8,sample,single,9,15,2017,HickoryBottoms,B,9,14,2017
9152017HBB9,sample,single,9,15,2017,HickoryBottoms,B,9,14,2017
9152017HBD1,sample,single,9,15,2017,HickoryBottoms,D,9,14,2017
9152017HBD10,sample,single,9,15,2017,HickoryBottoms,D,9,14,2017
9152017HBD2,sample,single,9,15,2017,HickoryBottoms,D,9,14,2017
9152017HBD3,sample,single,9,15,2017,HickoryBottoms,D,9,14,2017
9152017HBD4,sample,single,9,15,2017,HickoryBottoms,D,9,14,2017
9152017HBD5,sample,single,9,15,2017,HickoryBottoms,D,9,14,2017
9152017HBD6,sample,single,9,15,2017,HickoryBottoms,D,9,14,2017
9152017HBD7,sample,single,9,15,2017,HickoryBottoms,D,9,14,2017
9152017HBD8,sample,single,9,15,2017,HickoryBottoms,D,9,14,2017
9152017HBD9,sample,single,9,15,2017,HickoryBottoms,D,9,14,2017
9152017HBPoolA1,sample,pool,9,15,2017,HickoryBottoms,A,9,14,2017
9152017HBPoolA2,sample,pool,9,15,2017,HickoryBottoms,A,9,14,2017
9152017HBPoolA3,sample,pool,9,15,2017,HickoryBottoms,A,9,14,2017
9152017HBPoolA4,sample,pool,9,15,2017,HickoryBottoms,A,9,14,2017
9152017HBPoolB1,sample,pool,9,15,2017,HickoryBottoms,B,9,14,2017
9152017HBPoolB2,sample,pool,9,15,2017,HickoryBottoms,B,9,14,2017
9152017HBPoolB3,sample,pool,9,15,2017,HickoryBottoms,B,9,14,2017
9152017HBPoolB4,sample,pool,9,15,2017,HickoryBottoms,B,9,14,2017
blankS39,control,control,,,,control,control,,,
ExtractionNTC10S106,control,control,,,,control,control,,,
ExtractionNTC11S115,control,control,,,,control,control,,,
ExtractionNTC13S133,control,control,,,,control,control,,,
ExtractionNTC14S142,control,control,,,,control,control,,,
ExtractionNTC15S151,control,control,,,,control,control,,,
ExtractionNTC16S160,control,control,,,,control,control,,,
ExtractionNTC1S1,control,control,,,,control,control,,,
ExtractionNTC2S10,control,control,,,,control,control,,,
ExtractionNTC3S19,control,control,,,,control,control,,,
ExtractionNTC4S28,control,control,,,,control,control,,,
ExtractionNTC5S37,control,control,,,,control,control,,,
ExtractionNTC6S46,control,control,,,,control,control,,,
ExtractionNTC7S55,control,control,,,,control,control,,,
ExtractionNTC8S64,control,control,,,,control,control,,,
ExtractionNTC9S97,control,control,,,,control,control,,,
