SampleID,SampleType,BatchType,Source,ContamArea,sumReads,nASVs
7272017HBD1,sample,single,plate,FALSE,50679,34
7272017HBD10,sample,single,plate,TRUE,22953,9
7272017HBD2,sample,single,plate,FALSE,22270,31
7272017HBD3,sample,single,plate,FALSE,24644,24
7272017HBD4,sample,single,plate,FALSE,12598,49
7272017HBD5,sample,single,plate,FALSE,26426,14
7272017HBD6,sample,single,plate,FALSE,39630,84
7272017HBD7,sample,single,plate,TRUE,19765,77
7272017HBD8,sample,single,plate,TRUE,31515,37
7272017HBD9,sample,single,plate,TRUE,28136,11
7272017HBPoolA1,sample,pool,Isolate,NA,17196,70
7272017HBPoolA2,sample,pool,Isolate,NA,20841,71
7272017HBPoolA3,sample,pool,Isolate,NA,29800,79
7272017HBPoolA4,sample,pool,Isolate,NA,21562,57
7272017HBPoolD1,sample,pool,Isolate,NA,29595,78
7272017HBPoolD2,sample,pool,Isolate,NA,59395,78
7272017HBPoolD3,sample,pool,Isolate,NA,73811,89
7272017HBPoolD4,sample,pool,Isolate,NA,38454,92
91517HBPoolD1,sample,pool,Isolate,NA,19635,95
91517HBPoolD2,sample,pool,Isolate,NA,24347,98
91517HBPoolD3,sample,pool,Isolate,NA,20132,122
91517HBPoolD4,sample,pool,Isolate,NA,25305,132
9152017EGA1,sample,single,plate,FALSE,28750,19
9152017EGA2,sample,single,plate,FALSE,41947,26
9152017EGA3,sample,single,plate,FALSE,41874,63
9152017EGA4,sample,single,plate,FALSE,28762,24
9152017EGA5,sample,single,plate,FALSE,16089,56
9152017EGA6,sample,single,plate,FALSE,21590,41
9152017EGA7,sample,single,plate,FALSE,26673,32
9152017EGB10,sample,single,plate,FALSE,74542,38
9152017EGB5,sample,single,plate,FALSE,59404,37
9152017EGB6,sample,single,plate,TRUE,52113,12
9152017EGB7,sample,single,plate,TRUE,23170,45
9152017EGB8,sample,single,plate,TRUE,13771,26
9152017EGB9,sample,single,plate,TRUE,27491,38
9152017EGC1,sample,single,plate,FALSE,33841,8
9152017EGC10,sample,single,plate,TRUE,30782,28
9152017EGC2,sample,single,plate,FALSE,34768,58
9152017EGC3,sample,single,plate,FALSE,29886,33
9152017EGC4,sample,single,plate,FALSE,26868,55
9152017EGC5,sample,single,plate,FALSE,16812,47
9152017EGC6,sample,single,plate,FALSE,28154,33
9152017EGC7,sample,single,plate,FALSE,11739,42
9152017EGC8,sample,single,plate,TRUE,13609,48
9152017EGC9,sample,single,plate,TRUE,13231,43
9152017EGD10,sample,single,Isolate,NA,35717,57
9152017EGD5,sample,single,plate,FALSE,27531,27
9152017EGD6,sample,single,plate,FALSE,23313,27
9152017EGD7,sample,single,plate,FALSE,26823,56
9152017EGD9,sample,single,Isolate,NA,95314,23
9152017EgnerB1,sample,single,Isolate,NA,53510,36
9152017EgnerB2,sample,single,Isolate,NA,53257,57
9152017EgnerB3,sample,single,Isolate,NA,28001,50
9152017EgnerB4,sample,single,Isolate,NA,22570,57
9152017EgnerD1,sample,single,Isolate,NA,28804,37
9152017EgnerD2,sample,single,Isolate,NA,85390,53
9152017EgnerD3,sample,single,Isolate,NA,123919,53
9152017EgnerD4,sample,single,Isolate,NA,32452,49
9152017EgnerPoolB1,sample,pool,Isolate,NA,42999,72
9152017EgnerPoolB2,sample,pool,Isolate,NA,22661,52
9152017EgnerPoolB3,sample,pool,Isolate,NA,58444,78
9152017EgnerPoolB4,sample,pool,Isolate,NA,22174,55
9152017EgnerPoolC1,sample,pool,Isolate,NA,22687,15
9152017EgnerPoolC2,sample,pool,Isolate,NA,31421,17
9152017EgnerPoolC3,sample,pool,Isolate,NA,32349,16
9152017EgnerPoolC4,sample,pool,Isolate,NA,31964,15
9152017EgnerPoolD1,sample,pool,Isolate,NA,17901,46
9152017EgnerPoolD2,sample,pool,Isolate,NA,14441,43
9152017EgnerPoolD3,sample,pool,Isolate,NA,22776,55
9152017EgnerPoolD4,sample,pool,Isolate,NA,20193,41
9152017HBA1,sample,single,Isolate,NA,23751,22
9152017HBA10,sample,single,Isolate,NA,20250,5
9152017HBA2,sample,single,Isolate,NA,26582,24
9152017HBA3,sample,single,Isolate,NA,37469,23
9152017HBA4,sample,single,Isolate,NA,48327,16
9152017HBA5,sample,single,Isolate,NA,14463,23
9152017HBA6,sample,single,Isolate,NA,53697,38
9152017HBA7,sample,single,Isolate,NA,68917,38
9152017HBA8,sample,single,Isolate,NA,46588,26
9152017HBA9,sample,single,Isolate,NA,38564,41
9152017HBB1,sample,single,Isolate,NA,35130,50
9152017HBB10,sample,single,Isolate,NA,33937,15
9152017HBB2,sample,single,Isolate,NA,23159,42
9152017HBB3,sample,single,Isolate,NA,37521,35
9152017HBB4,sample,single,Isolate,NA,36343,50
9152017HBB5,sample,single,Isolate,NA,22406,43
9152017HBB6,sample,single,Isolate,NA,26104,20
9152017HBB7,sample,single,Isolate,NA,33537,20
9152017HBB8,sample,single,Isolate,NA,32467,75
9152017HBB9,sample,single,Isolate,NA,20166,33
9152017HBD1,sample,single,Isolate,NA,26625,54
9152017HBD10,sample,single,Isolate,NA,86695,18
9152017HBD2,sample,single,Isolate,NA,33357,42
9152017HBD3,sample,single,Isolate,NA,31533,13
9152017HBD4,sample,single,Isolate,NA,33135,38
9152017HBD5,sample,single,Isolate,NA,30416,17
9152017HBD6,sample,single,Isolate,NA,24344,25
9152017HBD7,sample,single,Isolate,NA,89993,27
9152017HBD8,sample,single,Isolate,NA,22220,35
9152017HBD9,sample,single,Isolate,NA,17562,24
9152017HBPoolA1,sample,pool,Isolate,NA,25860,57
9152017HBPoolA2,sample,pool,Isolate,NA,27335,57
9152017HBPoolA3,sample,pool,Isolate,NA,32408,64
9152017HBPoolA4,sample,pool,Isolate,NA,20976,56
9152017HBPoolB1,sample,pool,Isolate,NA,14603,37
9152017HBPoolB2,sample,pool,Isolate,NA,24559,50
9152017HBPoolB3,sample,pool,Isolate,NA,24647,41
9152017HBPoolB4,sample,pool,Isolate,NA,21285,43
blankS39,control,control,plate,TRUE,28881,35
ExtractionNTC11S115,control,control,plate,TRUE,42444,1
ExtractionNTC1S1,control,control,plate,TRUE,47645,31
ExtractionNTC2S10,control,control,plate,TRUE,28330,6
ExtractionNTC3S19,control,control,plate,TRUE,37160,5
ExtractionNTC4S28,control,control,plate,TRUE,31395,7
ExtractionNTC7S55,control,control,plate,TRUE,43330,6
ExtractionNTC8S64,control,control,plate,TRUE,40253,33
