SampleID,SampleType,BatchType,Roost,CollectionMonth,Site,sumNonBatReads,nASVs,Myotis lucifugus,Myotis sodalis,Nycticeius humeralis,multihit,sumBatReads
72717HBPoolC1,sample,pool,C,7,HickoryBottoms,24324,69,NA,196,NA,FALSE,196
72717HBPoolC2,sample,pool,C,7,HickoryBottoms,27121,81,NA,NA,NA,NA,NA
72717HBPoolC3,sample,pool,C,7,HickoryBottoms,22835,146,NA,97,NA,FALSE,97
72717HBPoolC4,sample,pool,C,7,HickoryBottoms,14356,107,NA,4,NA,FALSE,4
7272017EGA1,sample,single,A,7,Egner,47691,79,NA,6,NA,FALSE,6
7272017EGA2,sample,single,A,7,Egner,15154,40,NA,NA,NA,NA,NA
7272017EGA3,sample,single,A,7,Egner,33518,42,NA,25,NA,FALSE,25
7272017EGA4,sample,single,A,7,Egner,24265,53,6,1761,NA,TRUE,1767
7272017EGA5,sample,single,A,7,Egner,19344,68,64,36,NA,TRUE,100
7272017EGB1,sample,single,B,7,Egner,26731,93,10,55,NA,TRUE,65
7272017EGB10,sample,single,B,7,Egner,56465,60,NA,NA,NA,NA,NA
7272017EGB2,sample,single,B,7,Egner,12072,37,NA,4492,NA,FALSE,4492
7272017EGB3,sample,single,B,7,Egner,16588,80,NA,NA,NA,NA,NA
7272017EGB4,sample,single,B,7,Egner,27050,78,NA,16,NA,FALSE,16
7272017EGB5,sample,single,B,7,Egner,28391,87,NA,9,NA,FALSE,9
7272017EGB6,sample,single,B,7,Egner,58363,75,NA,81,NA,FALSE,81
7272017EGB7,sample,single,B,7,Egner,22329,129,NA,31,NA,FALSE,31
7272017EGB8,sample,single,B,7,Egner,12111,91,NA,12,NA,FALSE,12
7272017EGB9,sample,single,B,7,Egner,18996,34,NA,9698,NA,FALSE,9698
7272017EGC1,sample,single,C,7,Egner,47580,1,NA,NA,NA,NA,NA
7272017EGC10,sample,single,C,7,Egner,21220,25,NA,3,NA,FALSE,3
7272017EGC2,sample,single,C,7,Egner,41927,5,NA,NA,NA,NA,NA
7272017EGC3,sample,single,C,7,Egner,21768,75,NA,1990,NA,FALSE,1990
7272017EGC4,sample,single,C,7,Egner,25384,19,NA,NA,NA,NA,NA
7272017EGC5,sample,single,C,7,Egner,78198,50,NA,NA,NA,NA,NA
7272017EGC6,sample,single,C,7,Egner,35771,24,NA,NA,NA,NA,NA
7272017EGC7,sample,single,C,7,Egner,54621,50,NA,99,NA,FALSE,99
7272017EGC8,sample,single,C,7,Egner,19134,37,NA,12,NA,FALSE,12
7272017EGC9,sample,single,C,7,Egner,17283,47,NA,13,NA,FALSE,13
7272017EGD1,sample,single,D,7,Egner,21921,66,NA,1716,NA,FALSE,1716
7272017EGD10,sample,single,D,7,Egner,20476,38,NA,NA,NA,NA,NA
7272017EGD2,sample,single,D,7,Egner,23951,41,NA,261,NA,FALSE,261
7272017EGD3,sample,single,D,7,Egner,20822,34,NA,88,NA,FALSE,88
7272017EGD4,sample,single,D,7,Egner,38527,21,NA,NA,NA,NA,NA
7272017EGD5,sample,single,D,7,Egner,40382,77,NA,23,NA,FALSE,23
7272017EGD6,sample,single,D,7,Egner,21057,47,NA,35,NA,FALSE,35
7272017EGD7,sample,single,D,7,Egner,28583,38,NA,NA,NA,NA,NA
7272017EGD8,sample,single,D,7,Egner,45446,56,NA,NA,NA,NA,NA
7272017EGD9,sample,single,D,7,Egner,54822,78,NA,90,NA,FALSE,90
7272017EgnerPoolC1,sample,pool,C,7,Egner,22318,105,NA,79,NA,FALSE,79
7272017EgnerPoolC2,sample,pool,C,7,Egner,24276,30,NA,1077,NA,FALSE,1077
7272017EgnerPoolC3,sample,pool,C,7,Egner,26691,34,NA,NA,NA,NA,NA
7272017EgnerPoolC4,sample,pool,C,7,Egner,35645,37,NA,NA,NA,NA,NA
7272017EgnerPoolD1,sample,pool,D,7,Egner,40077,32,NA,NA,NA,NA,NA
7272017EgnerPoolD2,sample,pool,D,7,Egner,39426,39,NA,NA,NA,NA,NA
7272017EgnerPoolD3,sample,pool,D,7,Egner,36218,37,NA,83,NA,FALSE,83
7272017EgnerPoolD4,sample,pool,D,7,Egner,32850,39,NA,36,NA,FALSE,36
7272017HBA1,sample,single,A,7,HickoryBottoms,30977,48,NA,NA,NA,NA,NA
7272017HBA10,sample,single,A,7,HickoryBottoms,39899,5,NA,NA,NA,NA,NA
7272017HBA2,sample,single,A,7,HickoryBottoms,35236,8,NA,NA,NA,NA,NA
7272017HBA3,sample,single,A,7,HickoryBottoms,37531,75,NA,67,NA,FALSE,67
7272017HBA4,sample,single,A,7,HickoryBottoms,18133,37,NA,NA,NA,NA,NA
7272017HBA5,sample,single,A,7,HickoryBottoms,38169,64,NA,248,NA,FALSE,248
7272017HBA6,sample,single,A,7,HickoryBottoms,54594,1,NA,NA,NA,NA,NA
7272017HBA7,sample,single,A,7,HickoryBottoms,85710,19,NA,NA,NA,NA,NA
7272017HBA8,sample,single,A,7,HickoryBottoms,24370,39,NA,NA,NA,NA,NA
7272017HBA9,sample,single,A,7,HickoryBottoms,42936,57,NA,NA,NA,NA,NA
7272017HBB1,sample,single,B,7,HickoryBottoms,18684,23,NA,475,NA,FALSE,475
7272017HBB10,sample,single,B,7,HickoryBottoms,23122,38,NA,17349,NA,FALSE,17349
7272017HBB2,sample,single,B,7,HickoryBottoms,15197,35,NA,12680,NA,FALSE,12680
7272017HBB3,sample,single,B,7,HickoryBottoms,26921,62,NA,9876,NA,FALSE,9876
7272017HBB4,sample,single,B,7,HickoryBottoms,27482,21,NA,1589,NA,FALSE,1589
7272017HBB5,sample,single,B,7,HickoryBottoms,20186,57,NA,15484,NA,FALSE,15484
7272017HBB6,sample,single,B,7,HickoryBottoms,803,18,NA,27774,NA,FALSE,27774
7272017HBB7,sample,single,B,7,HickoryBottoms,19362,36,NA,13650,NA,FALSE,13650
7272017HBB8,sample,single,B,7,HickoryBottoms,3174,18,NA,14551,NA,FALSE,14551
7272017HBB9,sample,single,B,7,HickoryBottoms,19814,12,NA,1079,NA,FALSE,1079
7272017HBC1,sample,single,C,7,HickoryBottoms,28593,30,NA,NA,NA,NA,NA
7272017HBC10,sample,single,C,7,HickoryBottoms,14038,41,NA,NA,NA,NA,NA
7272017HBC2,sample,single,C,7,HickoryBottoms,30404,27,NA,NA,NA,NA,NA
7272017HBC3,sample,single,C,7,HickoryBottoms,9925,41,NA,1007,NA,FALSE,1007
7272017HBC4,sample,single,C,7,HickoryBottoms,18303,10,NA,NA,NA,NA,NA
7272017HBC5,sample,single,C,7,HickoryBottoms,21941,71,NA,3522,NA,FALSE,3522
7272017HBC6,sample,single,C,7,HickoryBottoms,33329,53,NA,399,NA,FALSE,399
7272017HBC9,sample,single,C,7,HickoryBottoms,146455,59,NA,63,NA,FALSE,63
7272017HBD1,sample,single,D,7,HickoryBottoms,50679,34,NA,124,NA,FALSE,124
7272017HBD10,sample,single,D,7,HickoryBottoms,22953,9,NA,NA,NA,NA,NA
7272017HBD2,sample,single,D,7,HickoryBottoms,22270,31,NA,10,6,TRUE,16
7272017HBD3,sample,single,D,7,HickoryBottoms,24644,24,NA,NA,NA,NA,NA
7272017HBD4,sample,single,D,7,HickoryBottoms,12598,49,NA,12,NA,FALSE,12
7272017HBD5,sample,single,D,7,HickoryBottoms,26426,14,NA,538,NA,FALSE,538
7272017HBD6,sample,single,D,7,HickoryBottoms,39630,84,NA,1181,NA,FALSE,1181
7272017HBD7,sample,single,D,7,HickoryBottoms,19765,77,NA,113,NA,FALSE,113
7272017HBD8,sample,single,D,7,HickoryBottoms,31515,37,NA,NA,NA,NA,NA
7272017HBD9,sample,single,D,7,HickoryBottoms,28136,11,NA,NA,NA,NA,NA
7272017HBPoolA1,sample,pool,A,7,HickoryBottoms,17196,70,NA,95,NA,FALSE,95
7272017HBPoolA2,sample,pool,A,7,HickoryBottoms,20841,71,NA,33,NA,FALSE,33
7272017HBPoolA3,sample,pool,A,7,HickoryBottoms,29800,79,NA,NA,NA,NA,NA
7272017HBPoolA4,sample,pool,A,7,HickoryBottoms,21562,57,NA,57,NA,FALSE,57
7272017HBPoolD1,sample,pool,D,7,HickoryBottoms,29595,78,NA,348,NA,FALSE,348
7272017HBPoolD2,sample,pool,D,7,HickoryBottoms,59395,78,NA,415,NA,FALSE,415
