Feature ID	Taxon	Consensus
1ecb4c6a93ac689177cc5e605b91e0c0	Animalia;Arthropoda;Arachnida;Araneae;Araneidae;Araneus;Araneus guttulatus	1.0
1ec617466cf6b3e5934156aa91e2e444	Animalia;Arthropoda;Arachnida;Araneae;Theridiidae;Euryopis;Euryopis funebris	1.0
5bd30bd197d2d9e723f115c446666ba5	Unassigned	1.0
637a76cf31e2cc613909ad16b93ac38f	Unassigned	1.0
2cb1de3501e777c8646d1537f59cbb6d	Unassigned	1.0
f11dceb3eec0714f861f74a669a2ef12	Animalia;Arthropoda;Insecta;Lepidoptera;Tortricidae;Platynota;Platynota exasperatana	1.0
8e3aa432f170f8e5b966f018f705932e	Unassigned	1.0
a45ede25aec97cd849065285816bacc9	Unassigned	1.0
420e1284afd4952ef3900927b91816bc	Unassigned	1.0
ed2bf2462cf7706f71d11e4893633ea0	Unassigned	1.0
4c30d293c156ae7ab5475fe9d0d948ae	Unassigned	1.0
bd09045a7849ead1badb696d6a5c7e1e	Animalia;Arthropoda;Insecta;Lepidoptera;Tortricidae;Acleris;Acleris chalybeana	0.8
57120688a76e6cb9db7140c728238266	Unassigned	1.0
403cb84fcfca3bdb5e1b722a4ed2b9e0	Animalia;Arthropoda;Insecta;Lepidoptera;Geometridae;Digrammia;Digrammia gnophosaria	1.0
ac13639e33b844a04e44303b13bb90a6	Unassigned	1.0
08a66e636c949e65220731f85cb948d5	Animalia;Arthropoda;Insecta;Psocodea;Amphipsocidae;Polypsocus;Polypsocus corruptus	1.0
32d90ade72f73ac2229780a5a2129f6f	Animalia;Arthropoda;Insecta;Lepidoptera;Tischeriidae;Coptotriche;Coptotriche aenea	1.0
657fcce7241cb020eb4f535d17009c1a	Animalia;Arthropoda;Insecta;Diptera;Culicidae;Psorophora;Psorophora ciliata	1.0
c5e7ba48489d93a11798e3921853b01c	Unassigned	1.0
49a81ab6c95e0c3d8e2de47dee35b240	Animalia;Arthropoda;Insecta;Neuroptera;Hemerobiidae;Micromus;Micromus posticus	1.0
b68316922984be5306f1f3174d14d482	Unassigned	1.0
36cf893308ad8d773e5215072ca9159c	Unassigned	1.0
01b2643d4bbe00795ac873b1f6ece834	Unassigned	1.0
5b9f7f2121d83e90cc8a5bc7428e8078	Unassigned	1.0
f05866451ab0920cd0cc67b4b45fd5a0	Animalia;Arthropoda;Insecta;Hemiptera;Miridae;Hyaliodes;Hyaliodes vitripennis	1.0
86d26dd555f1bbdcd7afd06fa6b40960	Animalia;Arthropoda;Arachnida;Araneae;Theridiidae;Platnickina;Platnickina alabamensis	1.0
190ab3993d54d0eb9f0262c75311072e	Unassigned	1.0
db98abfcfbcef92909c441278c0e8d96	Unassigned	1.0
1c85340d31fc6abad0d140c9985b99b9	Unassigned	1.0
154245fda1eade3340224209c85cb24c	Animalia;Arthropoda;Insecta;Diptera;Culicidae;Ambiguous_taxa;Ambiguous_taxa	0.8
def9633f0d2423e33a91bce451493f1e	Unassigned	1.0
858ca922d1854ec50251022b68356340	Animalia;Arthropoda;Insecta;Lepidoptera;Tineidae;Acrolophus;Acrolophus plumifrontella	1.0
d9da58cab1a0991ed8c2d0707b51d60d	Unassigned	1.0
df49f349aac347c42c8f6e2fb3185b90	Unassigned	1.0
17626e289e1bcfd8b77c142797b3b200	Unassigned	1.0
a07dc9eb27e63b7c55c0c0d9ac43d062	Animalia;Arthropoda;Insecta;Hymenoptera;Ichneumonidae;;	1.0
939e768b64a8ab16134780f9dc76018e	Animalia;Arthropoda;Insecta;Hemiptera;Cicadellidae;Gyponana;	1.0
d2d9254d123b2aa23fa9976bb14b8aa0	Unassigned	1.0
b98b0652a83d33b056f34bb286fb58f8	Animalia;Arthropoda;Insecta;Lepidoptera;Tortricidae;;	1.0
741f8d7d99ab86fd03b63fc698db2b07	Unassigned	1.0
7778def47ed0989521801798ab11b680	Unassigned	1.0
a67955af6d429c0fd4da40e381f3dc23	Animalia;Arthropoda;Arachnida;Araneae;Tetragnathidae;Tetragnatha;Tetragnatha viridis	1.0
bef13ded62f403a2ce88c4b7b4e404e8	Unassigned	1.0
1ca979456c4636653923abe56dcdf158	Animalia;Arthropoda;Insecta;Lepidoptera;Blastobasidae;Asaphocrita;Asaphocrita aphidiella	1.0
773d3cc7acbe73154784afbd19c667ca	Animalia;Arthropoda;Insecta;Lepidoptera;Erebidae;Parallelia;Parallelia bistriaris	1.0
2a4cb302666516e6db4f9ff6670a8df9	Unassigned	1.0
92855ba17a120ef7125c4b04e80594b3	Animalia;Arthropoda;Insecta;Diptera;Limoniidae;Dicranomyia;	1.0
48f5b4e056ced3e3b5c2f95037601717	Unassigned	1.0
542a2acc6db2cd825094e2af557d117e	Animalia;Arthropoda;Insecta;Hemiptera;Reduviidae;Zelus;Zelus luridus	1.0
171f69cb54dc4814fd0f4f5d743350c6	Animalia;Arthropoda;Insecta;Diptera;Mycetophilidae;Greenomyia;	1.0
d0f166d6a33f04359d7db697d1cb9698	Animalia;Arthropoda;Arachnida;Araneae;Araneidae;Neoscona;Neoscona sp. 1GAB	1.0
ba8f56cbd873e1a92591fe6cfccc22f5	Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Xenochironomus;Xenochironomus xenolabis	1.0
4a5fa353297ce8061f2ad48ce3f134c9	Animalia;Arthropoda;Insecta;Diptera;Muscidae;Phaonia;	1.0
3a1348a8cb180bf7e9dbf3049c1571c1	Unassigned	1.0
e29657714bcbfd64965273dfb0b902fd	Animalia;Arthropoda;Insecta;Diptera;Culicidae;Culex;Culex salinarius	0.7
451c46a6f9f5479873fe2a233d60c85f	Unassigned	1.0
3492d1af4160d2d5ae9684579e01df55	Unassigned	1.0
9fb6b8cb5b5879a595bcc51ebb5e5e4b	Unassigned	1.0
c7b50fa3e8094c34cbd961f8fec1774b	Unassigned	1.0
379ff1bbfe5b0957f074acc863f5b99c	Animalia;Arthropoda;Insecta;Hemiptera;Miridae;Neurocolpus;Neurocolpus nubilus	1.0
1351291e85fddedd6f274098d8131237	Animalia;Arthropoda;Insecta;Diptera;Chironomidae;;	1.0
9d5bb8ca8a9ba45d849ecf900b6716d2	Animalia;Arthropoda;Arachnida;Araneae;Araneidae;Mangora;Mangora maculata	1.0
6e28a3385fd5177d4fdb41586a1a8943	Animalia;Arthropoda;Insecta;Diptera;Culicidae;Culex;Culex erraticus	1.0
5e5c7f33235b6856c02a29baa13e5500	Unassigned	1.0
467bd68309fd5af18da3ade9c9258cb6	Unassigned	1.0
158cbd0fc1e3cd97c626aa1404d5e24f	Unassigned	1.0
8de11361ba9ae7bb17fc3e53dbe3ee93	Unassigned	1.0
36e0ac3f9241724fb8cc20ab66b35666	Animalia;Arthropoda;Insecta;Coleoptera;Bostrichidae;Xylobiops;Xylobiops basilaris	1.0
45c3edcd0e94f0c32ce0acb98401fb40	Unassigned	1.0
c8f191580ddbebea83080d3dec1215b9	Animalia;Arthropoda;Insecta;Lepidoptera;Blastobasidae;Blastobasis;Blastobasis glandulella	1.0
6b3951ad791813874c46939bf35a0c3c	Unassigned	1.0
42c8c6b3c3980d589e248093c798a447	Unassigned	1.0
8cb37a56eeff5644e154c25e528e50f6	Unassigned	1.0
614fd2953760447a52e9675656bbe7bd	Animalia;Arthropoda;Insecta;Diptera;Limoniidae;Symplecta;Symplecta cana	0.9
8574fa2343da4d1af6c76c8ad2ef6d14	Animalia;Arthropoda;Insecta;Lepidoptera;Gracillariidae;Caloptilia;	1.0
cb7d9d3afc66a56641de13e59b335416	Unassigned	1.0
48917af88199380c8338b6433370e3c4	Unassigned	1.0
2d353a83349dd42779d146cf294a6784	Unassigned	1.0
